"season","team","matches","match1","match2","match3","match4","match5","match6","match7","match8","match9","match10","match11","match12","match13","match14","match15","match16","match17","match18","match19","match20","match21","match22","match23","match24","match25","match26","match27","match28","match29","match30","match31","match32","match33","match34","match35","match36","match37","match38"
"2015/16","Arsenal",38,"L","W","D","W","W","L","W","W","W","W","W","D","L","D","W","W","W","L","W","W","D","D","L","D","W","W","L","L","D","W","W","W","D","D","D","W","D","W"
"2015/16","Aston Villa",38,"W","L","L","D","L","L","L","L","L","L","L","D","L","L","D","L","D","D","L","L","W","D","D","L","W","L","L","L","L","L","L","L","L","L","L","L","D","L"
"2015/16","Bournemouth",38,"L","L","W","D","L","W","L","D","L","L","L","L","D","D","W","W","W","D","L","D","L","W","D","W","L","L","D","W","W","W","L","L","W","L","L","L","D","L"
"2015/16","Chelsea",38,"D","L","W","L","L","W","D","L","W","L","L","L","W","D","L","L","W","D","D","W","D","D","W","D","D","W","W","W","D","D","D","W","L","L","W","D","L","D"
"2015/16","Crystal Palace",38,"W","L","W","W","L","L","W","W","L","L","D","W","L","W","D","W","W","D","D","L","L","L","L","L","D","L","L","D","L","L","L","D","W","D","D","L","W","L"
"2015/16","Everton",38,"D","W","L","D","W","D","W","D","L","L","W","D","W","D","D","D","L","W","L","D","D","D","L","W","W","L","L","W","L","L","L","L","D","D","D","W","L","W"
"2015/16","Leicester City",38,"W","W","D","D","W","D","L","W","D","W","W","W","W","D","W","W","W","L","D","D","W","D","W","W","W","L","W","D","W","W","W","W","W","D","W","D","W","D"
"2015/16","Liverpool",38,"W","W","D","L","L","D","W","D","D","D","W","L","W","W","L","D","L","W","W","L","D","L","W","L","D","W","W","W","W","D","L","D","W","W","D","L","W","D"
"2015/16","Manchester City",38,"W","W","W","W","W","L","L","W","W","D","W","D","L","W","L","W","L","W","D","W","D","W","D","W","L","L","D","L","W","D","L","W","W","W","W","L","D","D"
"2015/16","Manchester United",38,"W","W","D","L","W","W","W","L","W","D","D","W","W","D","D","L","L","L","D","W","D","W","L","W","D","L","W","W","L","W","W","W","L","W","L","D","W","W"
