"season","team","matches","match1","match2","match3","match4","match5","match6","match7","match8","match9","match10","match11","match12","match13","match14","match15","match16","match17","match18","match19","match20","match21","match22","match23","match24","match25","match26","match27","match28","match29","match30","match31","match32","match33","match34","match35","match36","match37","match38"
"2015/16","Athletic Bilbao",38,"L","L","W","L","L","D","W","D","W","W","W","L","W","D","L","W","W","D","L","L","W","W","D","L","L","W","W","W","W","L","D","W","W","L","D","W","D","W"
"2015/16","Atletico Madrid",38,"W","W","L","W","W","L","D","W","W","D","W","W","W","W","W","L","W","W","W","W","D","L","W","W","D","W","W","W","W","L","W","W","W","W","W","W","L","W"
"2015/16","Barcelona",38,"W","W","W","W","L","W","L","W","W","W","W","W","W","D","D","W","W","D","W","W","W","W","W","W","W","W","W","W","W","D","L","L","L","W","W","W","W","W"
"2015/16","Celta Vigo",38,"W","W","D","W","W","D","D","W","L","W","L","L","W","D","W","W","L","L","L","W","L","L","D","L","W","W","D","L","W","W","D","W","D","D","W","L","W","L"
"2015/16","Deportivo La Coruna",38,"D","D","W","L","W","W","D","D","L","D","D","W","W","D","D","W","D","L","L","D","D","D","D","D","L","L","L","D","L","W","D","L","D","L","D","L","W","L"
"2015/16","Eibar",38,"W","W","D","L","D","D","W","D","L","W","W","D","L","L","D","L","W","W","W","W","L","L","L","W","L","L","L","L","D","D","L","L","W","L","D","L","D","L"
"2015/16","Espanyol",38,"W","L","L","W","W","L","L","W","L","D","L","W","L","D","L","W","L","D","L","L","D","L","L","L","W","W","L","W","D","W","D","L","L","D","L","W","L","W"
"2015/16","Getafe",38,"L","L","L","W","L","W","D","W","L","L","L","D","W","L","D","D","D","W","W","W","L","L","L","L","L","L","L","D","L","D","L","L","L","W","D","W","D","L"
"2015/16","Granada",38,"L","W","L","L","L","L","D","D","D","D","L","W","D","L","W","L","L","W","L","L","W","L","L","L","L","W","W","L","D","D","D","D","L","W","L","W","W","L"
"2015/16","Las Palmas",38,"L","D","D","L","W","L","L","L","D","L","W","D","L","L","W","L","W","D","D","L","L","W","L","L","L","W","W","W","L","W","W","W","D","L","W","L","D","L"
