"season","team","matches","match1","match2","match3","match4","match5","match6","match7","match8","match9","match10","match11","match12","match13","match14","match15","match16","match17","match18","match19","match20","match21","match22","match23","match24","match25","match26","match27","match28","match29","match30","match31","match32","match33","match34"
2015,"Chicago Fire",34,"L","L","L","W","W","W","L","L","D","D","W","L","L","L","L","D","W","L","L","D","W","L","D","L","W","D","L","L","L","L","L","W","L","L"
2015,"Colorado Rapids",34,"D","D","D","L","W","L","D","D","D","D","W","L","L","D","D","L","L","W","W","W","L","L","L","W","W","W","L","D","L","L","L","L","W","L"
2015,"Columbus Crew SC",34,"L","W","L","D","D","W","W","L","W","L","D","D","L","L","D","W","D","W","L","W","W","D","L","W","D","W","W","L","W","W","L","L","W","W"
2015,"D.C. United",34,"W","L","W","W","D","D","W","W","D","W","L","D","L","W","W","L","L","W","W","D","L","L","W","W","W","L","L","L","D","L","L","W","W","L"
2015,"FC Dallas",34,"W","W","W","D","L","L","W","D","W","W","D","L","L","D","L","D","W","W","W","W","W","L","L","L","W","W","W","L","L","W","D","W","W","W"
2015,"Houston Dynamo",34,"W","L","D","D","L","W","D","D","L","L","W","W","L","D","W","L","L","D","W","L","W","D","W","L","D","L","W","L","L","W","W","L","D","L"
2015,"LA Galaxy",34,"W","D","D","L","L","W","W","D","D","D","L","L","W","W","D","L","D","W","W","L","W","W","L","W","W","W","W","L","D","L","W","D","L","L"
2015,"Montreal Impact",34,"L","D","D","L","L","W","W","L","W","W","L","W","L","D","L","W","L","W","W","D","L","L","L","W","D","D","W","W","W","L","L","W","W","W"
2015,"New England Revolution",34,"L","L","D","W","W","D","W","W","W","D","D","L","D","D","L","W","L","L","L","L","L","W","D","W","W","W","W","W","W","L","D","L","L","W"
2015,"New York City FC",34,"D","W","D","L","L","D","L","L","L","L","D","L","D","W","W","W","L","W","D","L","W","L","L","W","D","L","L","L","W","W","W","L","L","L"
